Entry	Entry name	Protein description	Gene name	Organism
P09661	RU2A_HUMAN	RU2A_HUMAN U2 small nuclear ribonucleoprotein A'	SNRPA1	Homo sapiens
P09668	CATH_HUMAN	CATH_HUMAN Pro-cathepsin H	CTSH	Homo sapiens
P09669	COX6C_HUMAN	COX6C_HUMAN Cytochrome c oxidase subunit 6C	COX6C	Homo sapiens
P09681	GIP_HUMAN	GIP_HUMAN Gastric inhibitory polypeptide	GIP	Homo sapiens
P09683	SECR_HUMAN	SECR_HUMAN Secretin	SCT	Homo sapiens
P09693	CD3G_HUMAN	CD3G_HUMAN T-cell surface glycoprotein CD3 gamma chain	CD3G	Homo sapiens
P09758	TACD2_HUMAN	TACD2_HUMAN Tumor-associated calcium signal transducer 2	TACSTD2	Homo sapiens
P09769	FGR_HUMAN	FGR_HUMAN Tyrosine-protein kinase Fgr	FGR	Homo sapiens
P09831	GLTB_ECOLI	GLTB_ECOLI Glutamate synthase [NADPH] large chain	gltB	Escherichia coli (strain K12)
P09832	GLTD_ECOLI	GLTD_ECOLI Glutamate synthase [NADPH] small chain	gltD	Escherichia coli (strain K12)
P09833	MODC_ECOLI	MODC_ECOLI Molybdenum import ATP-binding protein ModC	modC	Escherichia coli (strain K12)
P09835	UHPB_ECOLI	UHPB_ECOLI Signal transduction histidine-protein kinase/phosphatase UhpB	uhpB	Escherichia coli (strain K12)
P09836	UHPC_ECOLI	UHPC_ECOLI Membrane sensor protein UhpC	uhpC	Escherichia coli (strain K12)
P09848	LPH_HUMAN	LPH_HUMAN Lactase-phlorizin hydrolase	LCT	Homo sapiens
P09871	C1S_HUMAN	C1S_HUMAN Complement C1s subcomponent	C1S	Homo sapiens
P09874	PARP1_HUMAN	PARP1_HUMAN Poly [ADP-ribose] polymerase 1	PARP1	Homo sapiens
P09884	DPOLA_HUMAN	DPOLA_HUMAN DNA polymerase alpha catalytic subunit	POLA1	Homo sapiens
P09912	IFI6_HUMAN	IFI6_HUMAN Interferon alpha-inducible protein 6	IFI6	Homo sapiens
P09913	IFIT2_HUMAN	IFIT2_HUMAN Interferon-induced protein with tetratricopeptide repeats 2	IFIT2	Homo sapiens
P09914	IFIT1_HUMAN	IFIT1_HUMAN Interferon-induced protein with tetratricopeptide repeats 1	IFIT1	Homo sapiens
P09917	LOX5_HUMAN	LOX5_HUMAN Polyunsaturated fatty acid 5-lipoxygenase	ALOX5	Homo sapiens
P09919	CSF3_HUMAN	CSF3_HUMAN Granulocyte colony-stimulating factor	CSF3	Homo sapiens
P09923	PPBI_HUMAN	PPBI_HUMAN Intestinal-type alkaline phosphatase	ALPI	Homo sapiens
P09936	UCHL1_HUMAN	UCHL1_HUMAN Ubiquitin carboxyl-terminal hydrolase isozyme L1	UCHL1	Homo sapiens
P09958	FURIN_HUMAN	FURIN_HUMAN Furin	FURIN	Homo sapiens
P09960	LKHA4_HUMAN	LKHA4_HUMAN Leukotriene A-4 hydrolase	LTA4H	Homo sapiens
P09972	ALDOC_HUMAN	ALDOC_HUMAN Fructose-bisphosphate aldolase C	ALDOC	Homo sapiens
P09980	REP_ECOLI	REP_ECOLI ATP-dependent DNA helicase Rep	rep	Escherichia coli (strain K12)
P09996	YIDB_ECOLI	YIDB_ECOLI Uncharacterized protein YidB	yidB	Escherichia coli (strain K12)
P0A698	UVRA_ECOLI	UVRA_ECOLI UvrABC system protein A	uvrA	Escherichia coli (strain K12)
P0A6A0	UBIB_ECOLI	UBIB_ECOLI Probable protein kinase UbiB	ubiB	Escherichia coli (strain K12)
P0A6A3	ACKA_ECOLI	ACKA_ECOLI Acetate kinase	ackA	Escherichia coli (strain K12)
P0A6A6	LEUC_ECOLI	LEUC_ECOLI 3-isopropylmalate dehydratase large subunit	leuC	Escherichia coli (strain K12)
P0A6A8	ACP_ECOLI	ACP_ECOLI Acyl carrier protein	acpP	Escherichia coli (strain K12)
P0A6B4	ALR1_ECOLI	ALR1_ECOLI Alanine racemase, biosynthetic	alr	Escherichia coli (strain K12)
P0A6B7	ISCS_ECOLI	ISCS_ECOLI Cysteine desulfurase IscS	iscS	Escherichia coli (strain K12)
P0A6C1	END4_ECOLI	END4_ECOLI Endonuclease 4	nfo	Escherichia coli (strain K12)
P0A6C5	ARGA_ECOLI	ARGA_ECOLI Amino-acid acetyltransferase	argA	Escherichia coli (strain K12)
P0A6C8	ARGB_ECOLI	ARGB_ECOLI Acetylglutamate kinase	argB	Escherichia coli (strain K12)
P0A6D0	ARGR_ECOLI	ARGR_ECOLI Arginine repressor	argR	Escherichia coli (strain K12)
P0A6D3	AROA_ECOLI	AROA_ECOLI 3-phosphoshikimate 1-carboxyvinyltransferase	aroA	Escherichia coli (strain K12)
P0A6D5	YDIB_ECOLI	YDIB_ECOLI Quinate/shikimate dehydrogenase	ydiB	Escherichia coli (strain K12)
P0A6D7	AROK_ECOLI	AROK_ECOLI Shikimate kinase 1	aroK	Escherichia coli (strain K12)
P0A6E1	AROL_ECOLI	AROL_ECOLI Shikimate kinase 2	aroL	Escherichia coli (strain K12)
P0A6E4	ASSY_ECOLI	ASSY_ECOLI Argininosuccinate synthase	argG	Escherichia coli (strain K12)
P0A6E6	ATPE_ECOLI	ATPE_ECOLI ATP synthase epsilon chain	atpC	Escherichia coli (strain K12)
P0A6E9	BIOD2_ECOLI	BIOD2_ECOLI ATP-dependent dethiobiotin synthetase BioD 2	bioD2	Escherichia coli (strain K12)
P0A6F1	CARA_ECOLI	CARA_ECOLI Carbamoyl-phosphate synthase small chain	carA	Escherichia coli (strain K12)
P0A6F3	GLPK_ECOLI	GLPK_ECOLI Glycerol kinase	glpK	Escherichia coli (strain K12)
P0A6F5	CH60_ECOLI	CH60_ECOLI Chaperonin GroEL	groEL	Escherichia coli (strain K12)
P0A6F9	CH10_ECOLI	CH10_ECOLI Co-chaperonin GroES	groES	Escherichia coli (strain K12)
P0A6G3	PNCC_ECOLI	PNCC_ECOLI Nicotinamide-nucleotide amidohydrolase PncC	pncC	Escherichia coli (strain K12)
P0A6G5	CITX_ECOLI	CITX_ECOLI Apo-citrate lyase phosphoribosyl-dephospho-CoA transferase	citX	Escherichia coli (strain K12)
P0A6G7	CLPP_ECOLI	CLPP_ECOLI ATP-dependent Clp protease proteolytic subunit	clpP	Escherichia coli (strain K12)
P0A6H1	CLPX_ECOLI	CLPX_ECOLI ATP-dependent Clp protease ATP-binding subunit ClpX	clpX	Escherichia coli (strain K12)
P0A6H5	HSLU_ECOLI	HSLU_ECOLI ATP-dependent protease ATPase subunit HslU	hslU	Escherichia coli (strain K12)
P0A6H8	CLSA_ECOLI	CLSA_ECOLI Cardiolipin synthase A	clsA	Escherichia coli (strain K12)
P0A6I0	KCY_ECOLI	KCY_ECOLI Cytidylate kinase	cmk	Escherichia coli (strain K12)
P0A6I3	COAA_ECOLI	COAA_ECOLI Pantothenate kinase	coaA	Escherichia coli (strain K12)
P0A6I6	COAD_ECOLI	COAD_ECOLI Phosphopantetheine adenylyltransferase	coaD	Escherichia coli (strain K12)
P0A6I9	COAE_ECOLI	COAE_ECOLI Dephospho-CoA kinase	coaE	Escherichia coli (strain K12)
P0A6J1	CYSC_ECOLI	CYSC_ECOLI Adenylyl-sulfate kinase	cysC	Escherichia coli (strain K12)
P0A6J3	CYSZ_ECOLI	CYSZ_ECOLI Sulfate transporter CysZ	cysZ	Escherichia coli (strain K12)
P0A6J5	DADA_ECOLI	DADA_ECOLI D-amino acid dehydrogenase	dadA	Escherichia coli (strain K12)
P0A6J8	DDLA_ECOLI	DDLA_ECOLI D-alanine--D-alanine ligase A	ddlA	Escherichia coli (strain K12)
P0A6K1	DAPF_ECOLI	DAPF_ECOLI Diaminopimelate epimerase	dapF	Escherichia coli (strain K12)
P0A6K3	DEF_ECOLI	DEF_ECOLI Peptide deformylase	def	Escherichia coli (strain K12)
P0A6K6	DEOB_ECOLI	DEOB_ECOLI Phosphopentomutase	deoB	Escherichia coli (strain K12)
P0A6L0	DEOC_ECOLI	DEOC_ECOLI Deoxyribose-phosphate aldolase	deoC	Escherichia coli (strain K12)
P0A6L2	DAPA_ECOLI	DAPA_ECOLI 4-hydroxy-tetrahydrodipicolinate synthase	dapA	Escherichia coli (strain K12)
P0A6L4	NANA_ECOLI	NANA_ECOLI N-acetylneuraminate lyase	nanA	Escherichia coli (strain K12)
P0A6L7	UXAB_ECOLI	UXAB_ECOLI Altronate oxidoreductase	uxaB	Escherichia coli (strain K12)
P0A6L9	HSCB_ECOLI	HSCB_ECOLI Co-chaperone protein HscB	hscB	Escherichia coli (strain K12)
P0A6M2	DSBB_ECOLI	DSBB_ECOLI Disulfide bond formation protein B	dsbB	Escherichia coli (strain K12)
P0A6M4	DTD_ECOLI	DTD_ECOLI D-aminoacyl-tRNA deacylase	dtd	Escherichia coli (strain K12)
P0A6M8	EFG_ECOLI	EFG_ECOLI Elongation factor G	fusA	Escherichia coli (strain K12)
P0A6N4	EFP_ECOLI	EFP_ECOLI Elongation factor P	efp	Escherichia coli (strain K12)
P0A6N8	EFPL_ECOLI	EFPL_ECOLI Elongation factor P-like protein	yeiP	Escherichia coli (strain K12)
P0A6P1	EFTS_ECOLI	EFTS_ECOLI Elongation factor Ts	tsf	Escherichia coli (strain K12)
P0A6P5	DER_ECOLI	DER_ECOLI GTPase Der	der	Escherichia coli (strain K12)
P0A6P7	ENGB_ECOLI	ENGB_ECOLI Probable GTP-binding protein EngB	engB	Escherichia coli (strain K12)
P0A6P9	ENO_ECOLI	ENO_ECOLI Enolase	eno	Escherichia coli (strain K12)
P0A6Q3	FABA_ECOLI	FABA_ECOLI 3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase	fabA	Escherichia coli (strain K12)
P0A6Q6	FABZ_ECOLI	FABZ_ECOLI 3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ	fabZ	Escherichia coli (strain K12)
P0A6R0	FABH_ECOLI	FABH_ECOLI 3-oxoacyl-[acyl-carrier-protein] synthase 3	fabH	Escherichia coli (strain K12)
P0A6R3	FIS_ECOLI	FIS_ECOLI DNA-binding protein Fis	fis	Escherichia coli (strain K12)
P0A6S0	FLGH_ECOLI	FLGH_ECOLI Flagellar L-ring protein	flgH	Escherichia coli (strain K12)
P0A6S3	FLGI_ECOLI	FLGI_ECOLI Flagellar P-ring protein	flgI	Escherichia coli (strain K12)
P0A6S5	FTSB_ECOLI	FTSB_ECOLI Cell division protein FtsB	ftsB	Escherichia coli (strain K12)
P0A6S7	GPDA_ECOLI	GPDA_ECOLI Glycerol-3-phosphate dehydrogenase [NAD(P)+]	gpsA	Escherichia coli (strain K12)
P0A6T1	G6PI_ECOLI	G6PI_ECOLI Glucose-6-phosphate isomerase	pgi	Escherichia coli (strain K12)
P0A6T3	GAL1_ECOLI	GAL1_ECOLI Galactokinase	galK	Escherichia coli (strain K12)
P0A6T5	GCH1_ECOLI	GCH1_ECOLI GTP cyclohydrolase 1	folE	Escherichia coli (strain K12)
P0A6T9	GCSH_ECOLI	GCSH_ECOLI Glycine cleavage system H protein	gcvH	Escherichia coli (strain K12)
P0A6U3	MNMG_ECOLI	MNMG_ECOLI tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG	mnmG	Escherichia coli (strain K12)
P0A6U5	RSMG_ECOLI	RSMG_ECOLI Ribosomal RNA small subunit methyltransferase G	rsmG	Escherichia coli (strain K12)
P0A6U8	GLGA_ECOLI	GLGA_ECOLI Glycogen synthase	glgA	Escherichia coli (strain K12)
P0A6V1	GLGC_ECOLI	GLGC_ECOLI Glucose-1-phosphate adenylyltransferase	glgC	Escherichia coli (strain K12)
P0A6V5	GLPE_ECOLI	GLPE_ECOLI Thiosulfate sulfurtransferase GlpE	glpE	Escherichia coli (strain K12)
P0A6V8	GLK_ECOLI	GLK_ECOLI Glucokinase	glk	Escherichia coli (strain K12)
P0A6W0	GLSA2_ECOLI	GLSA2_ECOLI Glutaminase 2	glsA2	Escherichia coli (strain K12)
P0A6W3	MRAY_ECOLI	MRAY_ECOLI Phospho-N-acetylmuramoyl-pentapeptide-transferase	mraY	Escherichia coli (strain K12)
P0A6W5	GREA_ECOLI	GREA_ECOLI Transcription elongation factor GreA	greA	Escherichia coli (strain K12)
P0A6W9	GSH1_ECOLI	GSH1_ECOLI Glutamate--cysteine ligase	gshA	Escherichia coli (strain K12)
P0A6X1	HEM1_ECOLI	HEM1_ECOLI Glutamyl-tRNA reductase	hemA	Escherichia coli (strain K12)
P0A6X3	HFQ_ECOLI	HFQ_ECOLI RNA-binding protein Hfq	hfq	Escherichia coli (strain K12)
P0A6X7	IHFA_ECOLI	IHFA_ECOLI Integration host factor subunit alpha	ihfA	Escherichia coli (strain K12)
P0A6Y1	IHFB_ECOLI	IHFB_ECOLI Integration host factor subunit beta	ihfB	Escherichia coli (strain K12)
P0A6Y5	HSLO_ECOLI	HSLO_ECOLI 33 kDa chaperonin	hslO	Escherichia coli (strain K12)
P0A6Y8	DNAK_ECOLI	DNAK_ECOLI Chaperone protein DnaK	dnaK	Escherichia coli (strain K12)
P0A6Z1	HSCA_ECOLI	HSCA_ECOLI Chaperone protein HscA	hscA	Escherichia coli (strain K12)
P0A6Z3	HTPG_ECOLI	HTPG_ECOLI Chaperone protein HtpG	htpG	Escherichia coli (strain K12)
P0A6Z6	NIKR_ECOLI	NIKR_ECOLI Nickel-responsive regulator	nikR	Escherichia coli (strain K12)
P0A700	HYPA_ECOLI	HYPA_ECOLI Hydrogenase maturation factor HypA	hypA	Escherichia coli (strain K12)
P0A703	HYBF_ECOLI	HYBF_ECOLI Hydrogenase maturation factor HybF	hybF	Escherichia coli (strain K12)
P0A705	IF2_ECOLI	IF2_ECOLI Translation initiation factor IF-2	infB	Escherichia coli (strain K12)
P0A707	IF3_ECOLI	IF3_ECOLI Translation initiation factor IF-3	infC	Escherichia coli (strain K12)
P0A710	YCIB_ECOLI	YCIB_ECOLI Inner membrane-spanning protein YciB	yciB	Escherichia coli (strain K12)
P0A712	KDGT_ECOLI	KDGT_ECOLI 2-keto-3-deoxygluconate permease	kdgT	Escherichia coli (strain K12)
P0A715	KDSA_ECOLI	KDSA_ECOLI 2-dehydro-3-deoxyphosphooctonate aldolase	kdsA	Escherichia coli (strain K12)
P0A717	KPRS_ECOLI	KPRS_ECOLI Ribose-phosphate pyrophosphokinase	prs	Escherichia coli (strain K12)
P0A720	KTHY_ECOLI	KTHY_ECOLI Thymidylate kinase	tmk	Escherichia coli (strain K12)
P0A722	LPXA_ECOLI	LPXA_ECOLI Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase	lpxA	Escherichia coli (strain K12)
P0A725	LPXC_ECOLI	LPXC_ECOLI UDP-3-O-acyl-N-acetylglucosamine deacetylase	lpxC	Escherichia coli (strain K12)
P0A729	NTPPB_ECOLI	NTPPB_ECOLI 7-methyl-GTP pyrophosphatase	yceF	Escherichia coli (strain K12)
P0A731	MGSA_ECOLI	MGSA_ECOLI Methylglyoxal synthase	mgsA	Escherichia coli (strain K12)
P0A734	MINE_ECOLI	MINE_ECOLI Cell division topological specificity factor	minE	Escherichia coli (strain K12)
P0A738	MOAC_ECOLI	MOAC_ECOLI Cyclic pyranopterin monophosphate synthase	moaC	Escherichia coli (strain K12)
P0A742	MSCL_ECOLI	MSCL_ECOLI Large-conductance mechanosensitive channel	mscL	Escherichia coli (strain K12)
P0A744	MSRA_ECOLI	MSRA_ECOLI Peptide methionine sulfoxide reductase MsrA	msrA	Escherichia coli (strain K12)
P0A746	MSRB_ECOLI	MSRB_ECOLI Peptide methionine sulfoxide reductase MsrB	msrB	Escherichia coli (strain K12)
P0A749	MURA_ECOLI	MURA_ECOLI UDP-N-acetylglucosamine 1-carboxyvinyltransferase	murA	Escherichia coli (strain K12)
P0A752	NADD_ECOLI	NADD_ECOLI Nicotinate-nucleotide adenylyltransferase	nadD	Escherichia coli (strain K12)
P0A754	KEFF_ECOLI	KEFF_ECOLI Glutathione-regulated potassium-efflux system ancillary protein KefF	kefF	Escherichia coli (strain K12)
P0A756	KEFG_ECOLI	KEFG_ECOLI Glutathione-regulated potassium-efflux system ancillary protein KefG	kefG	Escherichia coli (strain K12)
P0A759	NAGB_ECOLI	NAGB_ECOLI Glucosamine-6-phosphate deaminase	nagB	Escherichia coli (strain K12)
P0A761	NANE_ECOLI	NANE_ECOLI Putative N-acetylmannosamine-6-phosphate 2-epimerase	nanE	Escherichia coli (strain K12)
P0A763	NDK_ECOLI	NDK_ECOLI Nucleoside diphosphate kinase	ndk	Escherichia coli (strain K12)
P0A766	RSXA_ECOLI	RSXA_ECOLI Ion-translocating oxidoreductase complex subunit A	rsxA	Escherichia coli (strain K12)
P0A769	MNTH_ECOLI	MNTH_ECOLI Divalent metal cation transporter MntH	mntH	Escherichia coli (strain K12)
P0A772	NRDI_ECOLI	NRDI_ECOLI Protein NrdI	nrdI	Escherichia coli (strain K12)
P0A776	RPPH_ECOLI	RPPH_ECOLI RNA pyrophosphohydrolase	rppH	Escherichia coli (strain K12)
P0A780	NUSB_ECOLI	NUSB_ECOLI Transcription antitermination protein NusB	nusB	Escherichia coli (strain K12)
P0A784	ORN_ECOLI	ORN_ECOLI Oligoribonuclease	orn	Escherichia coli (strain K12)
P0A786	PYRB_ECOLI	PYRB_ECOLI Aspartate carbamoyltransferase catalytic subunit	pyrB	Escherichia coli (strain K12)
P0A790	PAND_ECOLI	PAND_ECOLI Aspartate 1-decarboxylase	panD	Escherichia coli (strain K12)
P0A794	PDXJ_ECOLI	PDXJ_ECOLI Pyridoxine 5'-phosphate synthase	pdxJ	Escherichia coli (strain K12)
P0A796	PFKA_ECOLI	PFKA_ECOLI ATP-dependent 6-phosphofructokinase isozyme 1	pfkA	Escherichia coli (strain K12)
P0A799	PGK_ECOLI	PGK_ECOLI Phosphoglycerate kinase	pgk	Escherichia coli (strain K12)
P0A7A2	GPMB_ECOLI	GPMB_ECOLI Probable phosphoglycerate mutase GpmB	gpmB	Escherichia coli (strain K12)
P0A7A5	PIMT_ECOLI	PIMT_ECOLI Protein-L-isoaspartate O-methyltransferase	pcm	Escherichia coli (strain K12)
P0A7A7	PLSB_ECOLI	PLSB_ECOLI Glycerol-3-phosphate acyltransferase	plsB	Escherichia coli (strain K12)
P0A7A9	IPYR_ECOLI	IPYR_ECOLI Inorganic pyrophosphatase	ppa	Escherichia coli (strain K12)
P0A7B1	PPK1_ECOLI	PPK1_ECOLI Polyphosphate kinase	ppk	Escherichia coli (strain K12)
P0A7B3	NADK_ECOLI	NADK_ECOLI NAD kinase	nadK	Escherichia coli (strain K12)
P0A7B5	PROB_ECOLI	PROB_ECOLI Glutamate 5-kinase	proB	Escherichia coli (strain K12)
P0A7B8	HSLV_ECOLI	HSLV_ECOLI ATP-dependent protease subunit HslV	hslV	Escherichia coli (strain K12)
P0A7C2	LEXA_ECOLI	LEXA_ECOLI LexA repressor	lexA	Escherichia coli (strain K12)
P0A7C6	PEPE_ECOLI	PEPE_ECOLI Peptidase E	pepE	Escherichia coli (strain K12)
P0A7C8	PSIE_ECOLI	PSIE_ECOLI Protein PsiE	psiE	Escherichia coli (strain K12)
P0A7D1	PTH_ECOLI	PTH_ECOLI Peptidyl-tRNA hydrolase	pth	Escherichia coli (strain K12)
P0A7D4	PURA_ECOLI	PURA_ECOLI Adenylosuccinate synthetase	purA	Escherichia coli (strain K12)
P0A7D7	PUR7_ECOLI	PUR7_ECOLI Phosphoribosylaminoimidazole-succinocarboxamide synthase	purC	Escherichia coli (strain K12)
P0A7E1	PYRD_ECOLI	PYRD_ECOLI Dihydroorotate dehydrogenase (quinone)	pyrD	Escherichia coli (strain K12)
P0A7E3	PYRE_ECOLI	PYRE_ECOLI Orotate phosphoribosyltransferase	pyrE	Escherichia coli (strain K12)
P0A7E5	PYRG_ECOLI	PYRG_ECOLI CTP synthase	pyrG	Escherichia coli (strain K12)
P0A7E9	PYRH_ECOLI	PYRH_ECOLI Uridylate kinase	pyrH	Escherichia coli (strain K12)
P0A7F3	PYRI_ECOLI	PYRI_ECOLI Aspartate carbamoyltransferase regulatory chain	pyrI	Escherichia coli (strain K12)
P0A7F6	SPED_ECOLI	SPED_ECOLI S-adenosylmethionine decarboxylase proenzyme	speD	Escherichia coli (strain K12)
P0A7F9	QUEA_ECOLI	QUEA_ECOLI S-adenosylmethionine:tRNA ribosyltransferase-isomerase	queA	Escherichia coli (strain K12)
P0A7G2	RBFA_ECOLI	RBFA_ECOLI 30S ribosome-binding factor	rbfA	Escherichia coli (strain K12)
P0A7G6	RECA_ECOLI	RECA_ECOLI Protein RecA	recA	Escherichia coli (strain K12)
P0A7H0	RECF_ECOLI	RECF_ECOLI DNA replication and repair protein RecF	recF	Escherichia coli (strain K12)
P0A7H3	RECO_ECOLI	RECO_ECOLI DNA repair protein RecO	recO	Escherichia coli (strain K12)
P0A7H6	RECR_ECOLI	RECR_ECOLI Recombination protein RecR	recR	Escherichia coli (strain K12)
P0A7I0	RF1_ECOLI	RF1_ECOLI Peptide chain release factor RF1	prfA	Escherichia coli (strain K12)
P0A7I4	RF3_ECOLI	RF3_ECOLI Peptide chain release factor RF3	prfC	Escherichia coli (strain K12)
P0A7I7	RIBA_ECOLI	RIBA_ECOLI GTP cyclohydrolase-2	ribA	Escherichia coli (strain K12)
P0A7J0	RIBB_ECOLI	RIBB_ECOLI 3,4-dihydroxy-2-butanone 4-phosphate synthase	ribB	Escherichia coli (strain K12)
P0A7J3	RL10_ECOLI	RL10_ECOLI 50S ribosomal protein L10	rplJ	Escherichia coli (strain K12)
P0A7J7	RL11_ECOLI	RL11_ECOLI 50S ribosomal protein L11	rplK	Escherichia coli (strain K12)
P0A7K2	RL7_ECOLI	RL7_ECOLI 50S ribosomal protein L7/L12	rplL	Escherichia coli (strain K12)
P0A7K6	RL19_ECOLI	RL19_ECOLI 50S ribosomal protein L19	rplS	Escherichia coli (strain K12)
P0A7L0	RL1_ECOLI	RL1_ECOLI 50S ribosomal protein L1	rplA	Escherichia coli (strain K12)
P0A7L3	RL20_ECOLI	RL20_ECOLI 50S ribosomal protein L20	rplT	Escherichia coli (strain K12)
P0A7L8	RL27_ECOLI	RL27_ECOLI 50S ribosomal protein L27	rpmA	Escherichia coli (strain K12)
P0A7M2	RL28_ECOLI	RL28_ECOLI 50S ribosomal protein L28	rpmB	Escherichia coli (strain K12)
P0A7M6	RL29_ECOLI	RL29_ECOLI 50S ribosomal protein L29	rpmC	Escherichia coli (strain K12)
P0A7M9	RL31_ECOLI	RL31_ECOLI 50S ribosomal protein L31	rpmE	Escherichia coli (strain K12)
P0A7N1	RL31B_ECOLI	RL31B_ECOLI 50S ribosomal protein L31 type B	ykgM	Escherichia coli (strain K12)
P0A7N4	RL32_ECOLI	RL32_ECOLI 50S ribosomal protein L32	rpmF	Escherichia coli (strain K12)
P0A7N9	RL33_ECOLI	RL33_ECOLI 50S ribosomal protein L33	rpmG	Escherichia coli (strain K12)
P0A7P5	RL34_ECOLI	RL34_ECOLI 50S ribosomal protein L34	rpmH	Escherichia coli (strain K12)
P0A7Q1	RL35_ECOLI	RL35_ECOLI 50S ribosomal protein L35	rpmI	Escherichia coli (strain K12)
P0A7Q6	RL36_ECOLI	RL36_ECOLI 50S ribosomal protein L36	rpmJ	Escherichia coli (strain K12)
P0A7R1	RL9_ECOLI	RL9_ECOLI 50S ribosomal protein L9	rplI	Escherichia coli (strain K12)
P0A7R5	RS10_ECOLI	RS10_ECOLI 30S ribosomal protein S10	rpsJ	Escherichia coli (strain K12)
P0A7R9	RS11_ECOLI	RS11_ECOLI 30S ribosomal protein S11	rpsK	Escherichia coli (strain K12)
P0A7S3	RS12_ECOLI	RS12_ECOLI 30S ribosomal protein S12	rpsL	Escherichia coli (strain K12)
P0A7S9	RS13_ECOLI	RS13_ECOLI 30S ribosomal protein S13	rpsM	Escherichia coli (strain K12)
P0A7T3	RS16_ECOLI	RS16_ECOLI 30S ribosomal protein S16	rpsP	Escherichia coli (strain K12)
P0A7T7	RS18_ECOLI	RS18_ECOLI 30S ribosomal protein S18	rpsR	Escherichia coli (strain K12)
P0A7U3	RS19_ECOLI	RS19_ECOLI 30S ribosomal protein S19	rpsS	Escherichia coli (strain K12)
P0A7U7	RS20_ECOLI	RS20_ECOLI 30S ribosomal protein S20	rpsT	Escherichia coli (strain K12)
P0A7V0	RS2_ECOLI	RS2_ECOLI 30S ribosomal protein S2	rpsB	Escherichia coli (strain K12)
P0A7V3	RS3_ECOLI	RS3_ECOLI 30S ribosomal protein S3	rpsC	Escherichia coli (strain K12)
P0A7V8	RS4_ECOLI	RS4_ECOLI 30S ribosomal protein S4	rpsD	Escherichia coli (strain K12)
P0A7W1	RS5_ECOLI	RS5_ECOLI 30S ribosomal protein S5	rpsE	Escherichia coli (strain K12)
P0A7W7	RS8_ECOLI	RS8_ECOLI 30S ribosomal protein S8	rpsH	Escherichia coli (strain K12)
P0A7X3	RS9_ECOLI	RS9_ECOLI 30S ribosomal protein S9	rpsI	Escherichia coli (strain K12)
P0A7X6	RIMM_ECOLI	RIMM_ECOLI Ribosome maturation factor RimM	rimM	Escherichia coli (strain K12)
P0A7Y0	RNC_ECOLI	RNC_ECOLI Ribonuclease 3	rnc	Escherichia coli (strain K12)
P0A7Y4	RNH_ECOLI	RNH_ECOLI Ribonuclease HI	rnhA	Escherichia coli (strain K12)
P0A7Y8	RNPA_ECOLI	RNPA_ECOLI Ribonuclease P protein component	rnpA	Escherichia coli (strain K12)
P0A7Z0	RPIA_ECOLI	RPIA_ECOLI Ribose-5-phosphate isomerase A	rpiA	Escherichia coli (strain K12)
P0A7Z4	RPOA_ECOLI	RPOA_ECOLI DNA-directed RNA polymerase subunit alpha	rpoA	Escherichia coli (strain K12)
P0A800	RPOZ_ECOLI	RPOZ_ECOLI DNA-directed RNA polymerase subunit omega	rpoZ	Escherichia coli (strain K12)
P0A805	RRF_ECOLI	RRF_ECOLI Ribosome-recycling factor	frr	Escherichia coli (strain K12)
P0A809	RUVA_ECOLI	RUVA_ECOLI Holliday junction ATP-dependent DNA helicase RuvA	ruvA	Escherichia coli (strain K12)
P0A812	RUVB_ECOLI	RUVB_ECOLI Holliday junction ATP-dependent DNA helicase RuvB	ruvB	Escherichia coli (strain K12)
P0A814	RUVC_ECOLI	RUVC_ECOLI Crossover junction endodeoxyribonuclease RuvC	ruvC	Escherichia coli (strain K12)
P0A817	METK_ECOLI	METK_ECOLI S-adenosylmethionine synthase	metK	Escherichia coli (strain K12)
P0A821	SELA_ECOLI	SELA_ECOLI L-seryl-tRNA(Sec) selenium transferase	selA	Escherichia coli (strain K12)
P0A823	SFSA_ECOLI	SFSA_ECOLI Sugar fermentation stimulation protein A	sfsA	Escherichia coli (strain K12)
P0A825	GLYA_ECOLI	GLYA_ECOLI Serine hydroxymethyltransferase	glyA	Escherichia coli (strain K12)
P0A828	SMG_ECOLI	SMG_ECOLI Protein Smg	smg	Escherichia coli (strain K12)
P0A830	DCTA_ECOLI	DCTA_ECOLI Aerobic C4-dicarboxylate transport protein	dctA	Escherichia coli (strain K12)
P0A832	SSRP_ECOLI	SSRP_ECOLI SsrA-binding protein	smpB	Escherichia coli (strain K12)
P0A836	SUCC_ECOLI	SUCC_ECOLI Succinate--CoA ligase [ADP-forming] subunit beta	sucC	Escherichia coli (strain K12)
P0A840	SURE_ECOLI	SURE_ECOLI 5'/3'-nucleotidase SurE	surE	Escherichia coli (strain K12)
P0A843	TATE_ECOLI	TATE_ECOLI Sec-independent protein translocase protein TatE	tatE	Escherichia coli (strain K12)
P0A847	TGT_ECOLI	TGT_ECOLI Queuine tRNA-ribosyltransferase	tgt	Escherichia coli (strain K12)
P0A850	TIG_ECOLI	TIG_ECOLI Trigger factor	tig	Escherichia coli (strain K12)
